"dL []","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.056825,2.892,150.342931958629,114.405017869355
0.056825,2.895,151.087216145391,115.133876171701
0.056825,2.898,151.835563226769,115.862207407645
0.056825,2.901,152.587998461971,116.589996470584
0.056825,2.904,153.344547251645,117.317227946238
0.056825,2.907,154.105235136973,118.043886107721
0.056825,2.91,154.870087798697,118.769954910545
0.056825,2.913,155.639131056065,119.495417987562
0.056825,2.916,156.412390865697,120.220258643852
0.056825,2.919,157.18989332038,120.944459851544
0.056825,2.922,157.971664647776,121.668004244578
0.056825,2.925,158.757731209044,122.390874113411
0.056825,2.928,159.548119497382,123.113051399657
0.056825,2.931,160.342856136478,123.834517690674
0.056825,2.934,161.141967878867,124.555254214087
0.056825,2.937,161.9454816042,125.275241832256
0.056825,2.94,162.753424317414,125.994461036687
0.056825,2.943,163.565823146806,126.712891942379
0.056825,2.946,164.382705342006,127.430514282124
0.056825,2.949,165.204098271848,128.147307400748
0.056825,2.952,166.030029422132,128.86325024929
0.056825,2.955,166.860526393284,129.578321379138
0.056825,2.958,167.6956168979,130.292498936105
0.056825,2.961,168.53532875818,131.005760654453
0.056825,2.964,169.379689903247,131.718083850868
0.056825,2.967,170.228728366341,132.429445418383
0.056825,2.97,171.082472281904,133.139821820254
0.056825,2.973,171.940949882529,133.849189083789
0.056825,2.976,172.804189495791,134.557522794123
0.056825,2.979,173.672219540942,135.264798087959
0.056825,2.982,174.545068525482,135.97098964726
0.056825,2.985,175.422765041588,136.676071692896
0.056825,2.988,176.305337762407,137.380017978257
0.056825,2.991,177.192815438215,138.082801782824
0.056825,2.994,178.085226892423,138.784395905701
0.056825,2.997,178.982601017446,139.48477265912
0.056825,3,179.884966770413,140.1839038619
